index,name,score,type,stars,time,thumb,country,runtime,company,first_week_box_office,total_box_office
21,满江红,9.4,悬疑／喜剧／剧情,沈腾／易烊千玺／张译,2023-01-22 09:00,https://p0.pipi.cn/mmdb/fb7386028ea51bb12dd2363a4352b3f238c4e.jpg?imageView2/1/w/218/h/300,中国大陆 ,159,北京欢喜首映文化有限公司,40540,454435
22,少年的你,9.4,爱情／青春／剧情,周冬雨／易烊千玺／尹昉,2019-10-25,https://p0.pipi.cn/mmdb/d2dad5925372ff5bf1f0ee0e4cb73aa2af035.jpg?imageView2/1/w/218/h/300,中国大陆 ,135,好孩子制作有限公司(摄制),58859,155826
23,熊出没·逆转时空,9.4,动画／喜剧／科幻,谭笑／张茗／李婉瑶,2024-02-10 09:00,https://p0.pipi.cn/mmdb/54ecde9a7a39232c950faf5a65e3981459da6.jpg?imageView2/1/w/218/h/300,中国大陆 ,108,华强方特（深圳）动漫有限公司,169,43393
24,热烈,9.4,青春／运动／喜剧,黄渤／王一博／刘敏涛,2023-07-28 10:00,https://p0.pipi.cn/mmdb/fb7386dd0faf2af2aa8d3359e4cdeae13a5b8.jpg?imageView2/1/w/218/h/300,中国大陆 ,124,儒意影业（杭州）有限公司,28008,91331
25,中国机长,9.4,剧情／传记／灾难,张涵予／欧豪／杜江,2019-09-30,https://p0.pipi.cn/mmdb/d2dad5925370fa2ff787a978c22d7824921cc.jpg?imageView2/1/w/218/h/300,中国大陆 ,111,北京博纳影业集团有限公司,176647,291317
26,攀登者,9.4,剧情／冒险,吴京／章子怡／张译,2019-09-30,https://p0.pipi.cn/mmdb/d2dad5925375bf300b0e139575a92204798ed.jpg?imageView2/1/w/218/h/300,中国大陆 ,125,上海电影（集团）有限公司,73090,110433
27,1921,9.4,剧情／历史,黄轩／倪妮／王仁君,2021-07-01,https://p0.pipi.cn/mmdb/d2dad5927a3be107acb86046d880b1b30d194.jpg?imageView2/1/w/218/h/300,中国大陆 ,137,腾讯影业文化传播有限公司,22076,50476
28,人生大事,9.4,剧情／家庭,朱一龙／杨恩又／王戈,2024-05-25 10:00,https://p0.pipi.cn/mmdb/54ecde8751b51b2c955bf1698b6b855ec2d2c.jpg?imageView2/1/w/218/h/300,中国大陆 ,112,联瑞（上海）影业有限公司,89,24103
29,封神第一部,9.4,神话／动作／史诗,费翔／李雪健／黄渤,2023-07-20 18:00,https://p0.pipi.cn/mmdb/fb738633dddddd230fddd2291917e3b884f3c.jpg?imageView2/1/w/218/h/300,中国大陆 ,148,北京京西文化旅游股份有限公司无锡分公司,35790,263460
30,天空之城,9.4,动画／冒险／家庭／奇幻,田中真弓／横泽启子／初井言荣,2023-06-01 08:00,https://p0.pipi.cn/mmdb/fb738671be10fab860281ec0afaeb3403530a.jpg?imageView2/1/w/218/h/300,日本 ,125,日本吉卜力工作室,115,7580
1,熊出没·重返地球,9.4,动画／剧情／科幻,熊二／光头强／熊大,2022-02-01 08:00,https://p0.pipi.cn/mmdb/25bfd68decdb12b53592351a40d2bc6da3453.jpg?imageView2/1/w/218/h/300,中国大陆 ,99,华强方特（深圳）动漫有限公司,56269,97772
2,长安三万里,9.4,动画／历史,杨天翔／凌振赫／吴俊全,2023-07-08 09:00,https://p0.pipi.cn/mmdb/54ecde9a2c9f2a11e52ff7a72d1ef23df4775.jpg?imageView2/1/w/218/h/300,中国大陆 ,168,上海追光影业有限公司,114,17904
